"collection"	"year"	"title"	"author"	"journal"	"doi"
"NCEAS"	"1999"	"The adaptive dynamics of consumer choice"	"Abrams, Peter"	"American Naturalist"	"10.1086/303154"
"NCEAS"	"1996"	"National Science Foundation workshop supports restoration-related research"	"Allen, Edith ; Covington, W. ; Falk, Donald"	"Restoration and Management Notes"	NA
"NCEAS"	"1997"	"Developing the conceptual basis for restoration ecology"	"Allen, Edith ; Covington, W. ; Falk, Donald"	"Restoration Ecology"	"10.1046/j.1526-100X.1997.00541.x"
"NCEAS"	"1998"	"Spatiotemporal patterns in nature"	"Bascompte, Jordi ; Sole, Ricard"	"Trends in Ecology and Evolution"	"10.1016/S0169-5347(98)01325-1"
"NCEAS"	"1998"	"Effects of habitat destruction in a prey-predator metapopulation model"	"Bascompte, Jordi ; Sole, Ricard"	"Journal of Theoretical Biology"	"10.1006/jtbi.1998.0803"
"NCEAS"	"1998"	"Mapping the regional transition to cyclicity in Clethrionomys rufocanus: Spectral densities and functional data analysis"	"Bjornstad, Ottar ; Stenseth, Nils ; Saito, Kozo ; Lingjaere, O."	"Researches on Population Ecology"	"10.1007/BF02765223"
"NCEAS"	"1999"	"The selection mosaic and diversifying coevolution between crossbills and lodgepole pine"	"Benkman, C."	"American Naturalist"	"10.1086/303213"
"NCEAS"	"1999"	"Does immune challenge affect torpor duration?"	"Burton, Rebecca ; Reichman, Omar"	"Functional Ecology"	NA
"NCEAS"	"1999"	"Competitive reversals inside ecological reserves: The role of external habitat degradation"	"Cantrell, S. ; Cosner, Chris ; Fagan, William"	"Journal of Mathematical Biology"	"10.1007/s002850050139"
"NCEAS"	"1998"	"Extraction and amplification of mitochondrial DNA from formalin-fixed deep-sea mollusks"	"Chase, M. ; Etter, Ron ; Rex, Michael ; Quattro, J."	"Biotechniques"	"10.2144/98242bm16"
"NCEAS"	"1997"	"Predators, parasitoids, and pathogens as mortality agents in phytophagous insect populations"	"Hawkins, Bradford ; Cornell, Howard ; Hochberg, Michael"	"Ecology"	"10.1890/0012-9658(1997)078[2145:PPAPAM]2.0.CO;2"
"NCEAS"	"1997"	"The value of the world's ecosystem services and natural capital"	"Costanza, Robert ; d'Arge, Ralph ; de Groot, Rudolf ; Farber, Stephen ; Grasso, Monica ; Hannon, Bruce ; Limburg, Karin ; O'Neill, Robert ; Paruelo, Jose ; Raskin, Robert ; Naeem, Shahid ; Sutton, Paul ; Van Den Belt, Marjan"	"Nature"	"10.1038/387253a0"
"NCEAS"	"1998"	"The value of ecosystem services: Putting the issues in perspective"	"Costanza, Robert ; d'Arge, Ralph ; de Groot, Rudolf ; Farber, Stephen ; Grasso, Monica ; Hannon, Bruce ; Limburg, Karin ; Naeem, Shahid ; O'Neill, Robert ; Paruelo, Jose ; Raskin, Robert ; Sutton, Paul ; Van Den Belt, Marjan"	"Ecological Economics"	NA
"NCEAS"	"1998"	"Nutrients and zooplankton as multiple stressors of phytoplankton communities: Evidence from size structure"	"Cottingham, Kathryn"	"Limnology and Oceanography"	NA
"NCEAS"	"1998"	"Responses of epilimnetic phytoplankton to experimental nutrient enrichment in three small seepage lakes"	"Cottingham, Kathryn ; Carpenter, Stephen ; St. Amand, A."	"Journal of Plankton Research"	"10.1093/plankt/20.10.1889"
"NCEAS"	"1998"	"Population, community, and ecosystem variates as ecological indicators: Phytoplankton responses to whole-lake enrichment"	"Cottingham, Kathryn ; Carpenter, Stephen"	"Ecological Applications"	"10.1890/1051-0761(1998)008[0508:PCAEVA]2.0.CO;2"
"NCEAS"	"1998"	"Ecosystem management in the context of large, infrequent disturbances"	"Dale, Virginia ; Lugo, Ariel ; MacMahon, James ; Pickett, Steward"	"Ecosystems"	"10.1007/s100219900050"
"NCEAS"	"1999"	"Meta-analysis of marine nutrient-enrichment experiments: Variation in the magnitude of nutrient limitation"	"Downing, John ; Osenberg, Craig ; Sarnelle, Orlando"	"Ecology"	"10.1890/0012-9658(1999)080[1157:MAOMNE]2.0.CO;2"
"NCEAS"	"1997"	"Restoration ecology and the ecosystem perspective"	"Ehrenfeld, Joan ; Toth, Lou"	"Restoration Ecology"	"10.1046/j.1526-100X.1997.00544.x"
"NCEAS"	"1997"	"Inferring mechanism from time-series data: Delay-differential equations"	"Ellner, Stephen ; Kendall, Bruce ; Wood, Simon ; McCauley, Edward ; Briggs, Cheryl"	"Physica D-Nonlinear Phenomena"	"10.1016/S0167-2789(97)00123-1"
"NCEAS"	"1999"	"The importance of data-selection criteria: Meta-analyses of stream predation experiments"	"Englund, Goran ; Sarnelle, Orlando ; Cooper, Scott"	"Ecology"	"10.1890/0012-9658(1999)080[1132:TIODSC]2.0.CO;2"
"NCEAS"	"1997"	"Linking restoration and landscape ecology"	"Bell, Susan ; Fonseca, Mark ; Motten, L."	"Restoration Ecology"	"10.1046/j.1526-100X.1997.00545.x"
"NCEAS"	"1997"	"What practitioners need from restoration ecologists"	"Clewell, Andy ; Rieger, John"	"Restoration Ecology"	"10.1046/j.1526-100X.1997.00548.x"
"NCEAS"	"1998"	"A meta-analysis of elevated CO2 effects on woody plant mass, form, and physiology"	"Curtis, Peter ; Wang, Xianshong"	"Oecologia"	"10.1007/s004420050381"
"NCEAS"	"1998"	"Bathymetric patterns of genetic variation in a deep-sea protobranch bivalve, Deminucula atacellana"	"Chase, M. ; Etter, Ron ; Rex, Michael ; Quattro, J."	"Marine Biology"	"10.1007/s002270050323"
"NCEAS"	"1999"	"How habitat edges change species interactions"	"Fagan, William ; Cantrell, R. ; Cosner, Chris"	"American Naturalist"	"10.1086/303162"
"NCEAS"	"1999"	"A quantitative approach to Endangered Species Act classification of long-lived vertebrates: Application to the North Pacific humpback whale"	"Gerber, Leah ; DeMaster, D."	"Conservation Biology"	"10.1046/j.1523-1739.1999.98277.x"
"NCEAS"	"1999"	"Gray whales and the value of monitoring data in implementing the Endangered Species Act"	"Gerber, Leah ; DeMaster, D. ; Kareiva, Peter"	"Conservation Biology"	"10.1046/j.1523-1739.1999.98466.x"
"NCEAS"	"1999"	"Marine conservation marine reserves"	"Gerber, Leah"	"Mcgraw-Hill Encyclopedia of Science and Technology"	NA
"NCEAS"	"1997"	"Selecting conversation reserves using species-covering models: Adapting the ARC/INFO GIS"	"Gerrard, Ross ; Church, Richard ; Stoms, David ; Davis, Frank"	"Transactions in Gis"	NA
"NCEAS"	"1999"	"Empirical approaches to quantifying interaction intensity: Competition and facilitation along productivity gradients"	"Goldberg, Deborah ; Rajaniemi, Tara ; Gurevitch, Jessica ; Stewart-Oaten, Allan"	"Ecology"	"10.1890/0012-9658(1999)080[1118:EATQII]2.0.CO;2"
"NCEAS"	"1999"	"The effects of density dependence and immigration on adaptation and niche evolution in a black-hole sink environment"	"Gomulkiewicz, Richard ; Holt, Robert ; Barfield, M."	"Theoretical Population Biology"	"10.1006/tpbi.1998.1405"
"NCEAS"	"1997"	"Uniting two general patterns in the distribution of species"	"Hanski, Ilkka ; Gyllenberg, Mats"	"Science"	"10.1126/science.275.5298.397"
"NCEAS"	"1999"	"Transferring soils from high- to low-elevation forests increases nitrogen cycling rates: Climate change implications"	"Hart, Stephen ; Perry, D."	"Global Change Biology"	"10.1046/j.1365-2486.1998.00196.x"
