Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords
"Ackerman J.T., Eagles-Smith C.A., Herzog M.P., Hartman C.A., Peterson S.H., Evers D.C., Jackson A.K., Elliott J.E., Vander Pol S.S., Bryan C.E.",Avian mercury exposure and toxicological risk across western North America: A synthesis,2016,Science of the Total Environment,568,,,749,769,160,10.1016/j.scitotenv.2016.03.071,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963491029&doi=10.1016%2fj.scitotenv.2016.03.071&partnerID=40&md5=2567491424e2d242d864e4301d0450cf,"Methylmercury contamination of the environment is an important issue globally, and birds are useful bioindicators for mercury monitoring programs. The available data on mercury contamination of birds in western North America were synthesized. Original data from multiple databases were obtained and a literature review was conducted to obtain additional mercury concentrations. In total, 29219 original bird mercury concentrations from 225 species were compiled, and an additional 1712 mean mercury concentrations, representing 19998 individuals and 176 species, from 200 publications were obtained. To make mercury data comparable across bird tissues, published equations of tissue mercury correlations were used to convert all mercury concentrations into blood-equivalent mercury concentrations. Blood-equivalent mercury concentrations differed among species, foraging guilds, habitat types, locations, and ecoregions. Piscivores and carnivores exhibited the greatest mercury concentrations, whereas herbivores and granivores exhibited the lowest mercury concentrations. Bird mercury concentrations were greatest in ocean and salt marsh habitats and lowest in terrestrial habitats. Bird mercury concentrations were above toxicity benchmarks in many areas throughout western North America, and multiple hotspots were identified. Additionally, published toxicity benchmarks established in multiple tissues were summarized and translated into a common blood-equivalent mercury concentration. Overall, 66% of birds sampled in western North American exceeded a blood-equivalent mercury concentration of 0.2 ?g/g wet weight (ww; above background levels), which is the lowest-observed effect level, 28% exceeded 1.0 ?g/g ww (moderate risk), 8% exceeded 3.0 ?g/g ww (high risk), and 4% exceeded 4.0 ?g/g ww (severe risk). Mercury monitoring programs should sample bird tissues, such as adult blood and eggs, that are most-easily translated into tissues with well-developed toxicity benchmarks and that are directly relevant to bird reproduction. Results indicate that mercury contamination of birds is prevalent in many areas throughout western North America, and large-scale ecological attributes are important factors influencing bird mercury concentrations. © 2016",Bioaccumulation; Birds; Eggs; Mercury; Toxicity Benchmarks,"Animals; Bioaccumulation; Biochemistry; Birds; Blood; Ecosystems; Histology; Tissue; Toxicity; Eggs; Literature reviews; Mean mercury concentration; Mercury concentrations; Mercury contamination; Mercury exposure; Mercury monitoring; Terrestrial habitat; Mercury (metal); mercury; methylmercury; methylmercury derivative; benchmarking; bioaccumulation; bioindicator; bird; concentration (composition); ecotoxicology; egg; mercury (element); pollution exposure; risk assessment; Article; benchmarking; biogeographic region; bird; blood level; carnivore; concentration (parameters); data synthesis; environmental exposure; foraging behavior; granivore; high risk population; mercurialism; nonhuman; North America; piscivore; pollution monitoring; population exposure; population risk; priority journal; risk assessment; salt marsh; sea; species difference; species habitat; tissue distribution; analysis; animal; biological model; bird; blood; Canada; classification; environmental monitoring; factual database; geographic information system; pharmacokinetics; pollutant; procedures; risk assessment; toxicity; United States; North America; Aves; Animals; Birds; Canada; Databases, Factual; Environmental Monitoring; Environmental Pollutants; Geographic Information Systems; Methylmercury Compounds; Midwestern United States; Models, Biological; Northwestern United States; Risk Assessment; Southwestern United States; Species Specificity; Tissue Distribution"
"Alpers C.N., Yee J.L., Ackerman J.T., Orlando J.L., Slotton D.G., Marvin-DiPasquale M.C.",Prediction of fish and sediment mercury in streams using landscape variables and historical mining,2016,Science of the Total Environment,571,,,364,379,18,10.1016/j.scitotenv.2016.05.088,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989940726&doi=10.1016%2fj.scitotenv.2016.05.088&partnerID=40&md5=abc086faf53c9e7ccf1362fb567dc4fb,"Widespread mercury (Hg) contamination of aquatic systems in the Sierra Nevada of California, U.S., is associated with historical use to enhance gold (Au) recovery by amalgamation. In areas affected by historical Au mining operations, including the western slope of the Sierra Nevada and downstream areas in northern California, such as San Francisco Bay and the Sacramento River–San Joaquin River Delta, microbial conversion of Hg to methylmercury (MeHg) leads to bioaccumulation of MeHg in food webs, and increased risks to humans and wildlife. This study focused on developing a predictive model for THg in stream fish tissue based on geospatial data, including land use/land cover data, and the distribution of legacy Au mines. Data on total mercury (THg) and MeHg concentrations in fish tissue and streambed sediment collected during 1980–2012 from stream sites in the Sierra Nevada, California were combined with geospatial data to estimate fish THg concentrations across the landscape. THg concentrations of five fish species (Brown Trout, Rainbow Trout, Sacramento Pikeminnow, Sacramento Sucker, and Smallmouth Bass) within stream sections were predicted using multi-model inference based on Akaike Information Criteria, using geospatial data for mining history and landscape characteristics as well as fish species and length (r2 = 0.61, p &lt; 0.001). Including THg concentrations in streambed sediment did not improve the model's fit, however including MeHg concentrations in streambed sediment, organic content (loss on ignition), and sediment grain size resulted in an improved fit (r2 = 0.63, p &lt; 0.001). These models can be used to estimate THg concentrations in stream fish based on landscape variables in the Sierra Nevada in areas where direct measurements of THg concentration in fish are unavailable. © 2016",Akaike Information Criteria; California; Fish; Geospatial modeling; Gold mining; Methylmercury; Streambed sediment,"Biochemistry; Economic geology; Gold; Land use; Mercury (metal); Metals; Sediments; Tissue; Akaike information criterion; California; Geospatial model; Gold mining; Methyl mercury; Streambed sediments; Fish; gold; mercury; organic compound; mercury; methylmercury derivative; Akaike information criterion; fish; fluvial deposit; gold mine; mercury (element); methylmercury; mining; modeling; Article; bass; bioaccumulation; concentration (parameters); fish; land use; mining; Oncorhynchus mykiss; particle size; priority journal; Sacramento pikeminnow; Sacramento sucker; Salmo trutta; sediment; smallmouth bass; tissue level; United States; water contamination; analysis; animal; California; chemistry; ecosystem; environmental monitoring; fish; metabolism; mining; river; sediment; water pollutant; California; Sierra Nevada [California]; United States; Catostomus occidentalis; Micropterus dolomieu; Oncorhynchus mykiss; Ptychocheilus grandis; Salmo trutta; Animals; California; Ecosystem; Environmental Monitoring; Fishes; Geologic Sediments; Mercury; Methylmercury Compounds; Mining; Rivers; Water Pollutants, Chemical"
"Amburgey S.M., Miller D.A.W., Rochester C.J., Delaney K.S., Riley S.P.D., Brehme C.S., Hathaway S.A., Fisher R.N.",The influence of species life history and distribution characteristics on species responses to habitat fragmentation in an urban landscape,2021,Journal of Animal Ecology,90,3,,685,697,5,10.1111/1365-2656.13403,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100071571&doi=10.1111%2f1365-2656.13403&partnerID=40&md5=6c02cea2cef4e6253dfc9115d0b6aad9,"Fragmentation within urbanized environments often leads to a loss of native species diversity; however, variation exists in responses among-species and among-populations within species. We aimed to identify patterns in species biogeography in an urbanized landscape to understand anthropogenic effects on vertebrate communities and identify species that are more sensitive or resilient to landscape change. We investigated patterns in species richness and species responses to fragmentation in southern Californian small vertebrate communities using multispecies occupancy models and determined factors associated with overall commonness and sensitivity to patch size for 45 small vertebrate species both among and within remaining non-developed patches. In general, smaller patches had fewer species, with amphibian species richness being particularly sensitive to patch size effects. Mammals were generally more common, occurring both in a greater proportion of patches and a higher proportion of the sites within occupied patches. Alternatively, amphibians were generally restricted to larger patches but were more ubiquitous within smaller patches when occupied. Species range size was positively correlated with how common a species was across and within patches, even when controlling for only patches that fell within a species' range. We found sensitivity to patch size was greater for more fecund species and depended on where the patch occurred within a species' range. While all taxa were more likely to occur in patches in the warmer portions of their ranges, amphibians and mammals were more sensitive to fragmentation in these warmer areas as compared to the rest of their ranges. Similarly, amphibians occurred at a smaller proportion of sites within patches in drier portions of their ranges. Mammals occurred at a higher proportion of sites that were also in drier portions of their range while reptiles did not differ in their sensitivity to patch size by range position. We demonstrate that taxonomy, life history, range size and range position can predict commonness and sensitivity of species across this highly fragmented yet biodiverse landscape. The impacts of fragmentation on species communities within an urban landscape depend on scale, with differences emerging among and within species and populations. © 2020 British Ecological Society",amphibian; climate change; density compensation; mammal; multispecies occupancy model; reptile; urbanization,anthropogenic effect; biodiversity; habitat fragmentation; landscape ecology; life history; native species; patch size; range size; species richness; urban ecosystem; urbanization; vertebrate; California; United States; Amphibia; Mammalia; Reptilia; Vertebrata; animal; biodiversity; ecosystem; mammal; Animals; Biodiversity; Ecosystem; Mammals
"Angeler D.G., Allen C.R., Barichievy C., Eason T., Garmestani A.S., Graham N.A.J., Granholm D., Gunderson L.H., Knutson M., Nash K.L., Nelson R.J., Nyström M., Spanbauer T.L., Stow C.A., Sundstrom S.M.",REVIEW: Management applications of discontinuity theory,2016,Journal of Applied Ecology,53,3,,688,698,52,10.1111/1365-2664.12494,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938258670&doi=10.1111%2f1365-2664.12494&partnerID=40&md5=9e3d6b2a4aaeff3e403192438b488ffb,"Human impacts on the environment are multifaceted and can occur across distinct spatiotemporal scales. Ecological responses to environmental change are therefore difficult to predict, and entail large degrees of uncertainty. Such uncertainty requires robust tools for management to sustain ecosystem goods and services and maintain resilient ecosystems. We propose an approach based on discontinuity theory that accounts for patterns and processes at distinct spatial and temporal scales, an inherent property of ecological systems. Discontinuity theory has not been applied in natural resource management and could therefore improve ecosystem management because it explicitly accounts for ecological complexity. Synthesis and applications. We highlight the application of discontinuity approaches for meeting management goals. Specifically, discontinuity approaches have significant potential to measure and thus understand the resilience of ecosystems, to objectively identify critical scales of space and time in ecological systems at which human impact might be most severe, to provide warning indicators of regime change, to help predict and understand biological invasions and extinctions and to focus monitoring efforts. Discontinuity theory can complement current approaches, providing a broader paradigm for ecological management and conservation. © 2015 The Authors. Journal of Applied Ecology © 2015 British Ecological Society",biodiversity; discontinuity theory; ecological complexity; extinction; invasion biology; management; monitoring; regime shifts; resilience; scale,anthropogenic effect; biodiversity; biological invasion; complexity; ecosystem resilience; ecosystem response; environmental indicator; environmental management; environmental monitoring; extinction; human activity; natural resource; resource management; uncertainty analysis; Application; Ecosystems; Impact; Patterns; Resource Management; Synthesis; Tools
"Angeler D.G., Allen C.R., Johnson R.K.",Measuring the relative resilience of subarctic lakes to global change: Redundancies of functions within and across temporal scales,2013,Journal of Applied Ecology,50,3,,572,584,37,10.1111/1365-2664.12092,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878205131&doi=10.1111%2f1365-2664.12092&partnerID=40&md5=b6b8c4190ad942433d66b73520f6a4c1,"Ecosystems at high altitudes and latitudes are expected to be particularly vulnerable to the effects of global change. We assessed the responses of littoral invertebrate communities to changing abiotic conditions in subarctic Swedish lakes with long-term data (1988-2010) and compared the responses of subarctic lakes with those of more southern, hemiboreal lakes. We used a complex systems approach, based on multivariate time-series modelling, and identified dominant and distinct temporal frequencies in the data; that is, we tracked community change at distinct temporal scales. We determined the distribution of functional feeding groups of invertebrates within and across temporal scales. Within and cross-scale distributions of functions have been considered to confer resilience to ecosystems, despite changing environmental conditions. Two patterns of temporal change within the invertebrate communities were identified that were consistent across the lakes. The first pattern was one of monotonic change associated with changing abiotic lake conditions. The second was one of showing fluctuation patterns largely unrelated to gradual environmental change. Thus, two dominant and distinct temporal frequencies (temporal scales) were present in all lakes analysed. Although the contribution of individual feeding groups varied between subarctic and hemiboreal lakes, they shared overall similar functional attributes (richness, evenness, diversity) and redundancies of functions within and between the observed temporal scales. This highlights similar resilience characteristics in subarctic and hemiboreal lakes. Synthesis and applications. The effects of global change can be particularly strong at a single scale in ecosystems. Over time, this can cause monotonic change in communities and eventually lead to a loss of important ecosystem services upon reaching a critical threshold. Dynamics at other spatial or temporal scales can be unrelated to environmental change. The relative 'intactness' of these scales that are unaffected by global change and the persistence of functions at those scales may safeguard the whole system from the potential loss of functions at the scale at which global change impacts can be substantial. Thus, an understanding of scale-specific processes provides managers with a realistic assessment of vulnerabilities and the relative resilience of ecosystems to environmental change. Explicit consideration of 'intact' and 'affected' scales in analyses of global change impacts provides opportunities to tailor more specific management plans. © 2013 The Authors. Journal of Applied Ecology © 2013 British Ecological Society.",Benthic invertebrates; Cross-scale resilience; Global change; Panarchy; Time-series modelling; Vulnerability,altitude; arctic environment; ecosystem resilience; ecosystem service; environmental conditions; functional group; glacial lake; global change; invertebrate; lake ecosystem; latitude; littoral environment; multivariate analysis; species diversity; species evenness; species richness; time series; vulnerability; Sweden; Invertebrata
"Antoninka A., Faist A., Rodriguez-Caballero E., Young K.E., Chaudhary V.B., Condon L.A., Pyke D.A.",Biological soil crusts in ecological restoration: emerging research and perspectives,2020,Restoration Ecology,28,S2,,S3,S8,29,10.1111/rec.13201,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087176406&doi=10.1111%2frec.13201&partnerID=40&md5=ff1723e05a8964aed522d5bcd53c65b8,"Drylands encompass over 40% of terrestrial ecosystems and face significant anthropogenic degradation causing a loss of ecosystem integrity, services, and deterioration of social-ecological systems. To combat this degradation, some dryland restoration efforts have focused on the use of biological soil crusts (biocrusts): complex communities of cyanobacteria, algae, lichens, bryophytes, and other organisms living in association with the top millimeters of soil. Biocrusts are common in many ecosystems and especially drylands. They perform a suite of ecosystem functions: stabilizing soil surfaces to prevent erosion, contributing carbon through photosynthesis, fixing nitrogen, and mediating the hydrological cycle in drylands. Biocrusts have emerged as a potential tool in restoration; developing methods to implement effective biocrust restoration has the potential to return many ecosystem functions and services. Although culture-based approaches have allowed researchers to learn about the biology, physiology, and cultivation of biocrusts, transferring this knowledge to field implementation has been more challenging. A large amount of research has amassed to improve our understanding of biocrust restoration, leaving us at an opportune time to learn from one another and to join approaches for maximum efficacy. The articles in this special issue improve the state of our current knowledge in biocrust restoration, highlighting efforts to effectively restore biocrusts through a variety of different ecosystems, across scales and utilizing a variety of lab and field methods. This collective work provides a useful resource for the scientific community as well as land managers. Published 2020. This article is a U.S. Government work and is in the public domain in the USA. Restoration Ecology published by Wiley Periodicals LLC on behalf of Society for Ecological Restoration.",biocrust; biocrust cultivation; drylands; inoculation; rehabilitation; soil stabilization,dryland farming; ecosystem management; implementation process; nitrogen fixation; research work; restoration ecology; algae; bryophytes; Cyanobacteria
"Appling A.P., Hall R.O., Jr., Yackulic C.B., Arroita M.",Overcoming Equifinality: Leveraging Long Time Series for Stream Metabolism Estimation,2018,Journal of Geophysical Research: Biogeosciences,123,2,,624,645,98,10.1002/2017JG004140,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042549488&doi=10.1002%2f2017JG004140&partnerID=40&md5=fd458abc2b363ee3193b6ab48c34359d,"The foundational ecosystem processes of gross primary production (GPP) and ecosystem respiration (ER) cannot be measured directly but can be modeled in aquatic ecosystems from subdaily patterns of oxygen (O2) concentrations. Because rivers and streams constantly exchange O2 with the atmosphere, models must either use empirical estimates of the gas exchange rate coefficient (K600) or solve for all three parameters (GPP, ER, and K600) simultaneously. Empirical measurements of K600 require substantial field work and can still be inaccurate. Three-parameter models have suffered from equifinality, where good fits to O2 data are achieved by many different parameter values, some unrealistic. We developed a new three-parameter, multiday model that ensures similar values for K600 among days with similar physical conditions (e.g., discharge). Our new model overcomes the equifinality problem by (1) flexibly relating K600 to discharge while permitting moderate daily deviations and (2) avoiding the oft-violated assumption that residuals in O2 predictions are uncorrelated. We implemented this hierarchical state-space model and several competitor models in an open-source R package, streamMetabolizer. We then tested the models against both simulated and field data. Our new model reduces error by as much as 70% in daily estimates of K600, GPP, and ER. Further, accuracy benefits of multiday data sets require as few as 3 days of data. This approach facilitates more accurate metabolism estimates for more streams and days, enabling researchers to better quantify carbon fluxes, compare streams by their metabolic regimes, and investigate controls on aquatic activity. ©2018. The Authors.",aquatic; carbon; metabolism; oxygen; photosynthesis; respiration,carbon; concentration (composition); discharge; ecosystem function; estimation method; gas exchange; metabolism; oxygen consumption; parameterization; photosynthesis; primary production; respiration; stream; time series analysis
"Bagstad K.J., Ingram J.C., Shapiro C.D., La Notte A., Maes J., Vallecillo S., Casey C.F., Glynn P.D., Heris M.P., Johnson J.A., Lauer C., Matuszak J., Oleson K.L.L., Posner S.M., Rhodes C., Voigt B.",Lessons learned from development of natural capital accounts in the United States and European Union,2021,Ecosystem Services,52,,101359,,,9,10.1016/j.ecoser.2021.101359,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116895138&doi=10.1016%2fj.ecoser.2021.101359&partnerID=40&md5=6b6e9d24c6c04044f497342381dcf186,"The United States and European Union (EU) face common challenges in managing natural capital and balancing conservation and resource use with consumption of other forms of capital. This paper synthesizes findings from 11 individual application papers from a special issue of Ecosystem Services on natural capital accounting (NCA) and their application to the public and private sectors in the EU and U.S. NCA is inherently a data-integration centered exercise, aiming to draw new insights by realigning environmental and economic data into a consistent framework. Drawing primarily on papers from the special issue and other key NCA literature, we identify lessons learned and gaps remaining for NCA's development and application to decision making. In doing so, we identify eight key similarities and three major differences in NCA development, status, and application between the U.S. and EU. NCA can be highly policy relevant: special issue papers address critical issues including agriculture, water, conservation/land-use planning, climate, and corporate decision making. In both the U.S. and EU, further application is needed to drive demand for the accounts’ production. Based on these experiences, the U.S. and EU can be important leaders in cross-sector, international collaboration toward next-generation environmental economic accounts that advance global NCA practice. © 2021",Natural capital accounting; Private-sector accounting; SEEA Central Framework; SEEA Ecosystem Accounting; System of Environmental-Economic Accounting (SEEA),
"Bagstad K.J., Semmens D.J., Diffendorfer J.E., Mattsson B.J., Dubovsky J., Thogmartin W.E., Wiederholt R., Loomis J., Bieri J.A., Sample C., Goldstein J., López-Hoffman L.",Ecosystem service flows from a migratory species: Spatial subsidies of the northern pintail,2019,Ambio,48,1,,61,73,29,10.1007/s13280-018-1049-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045135288&doi=10.1007%2fs13280-018-1049-4&partnerID=40&md5=70c587acc44df6b0b8a914d4beb09bcd,"Migratory species provide important benefits to society, but their cross-border conservation poses serious challenges. By quantifying the economic value of ecosystem services (ESs) provided across a species’ range and ecological data on a species’ habitat dependence, we estimate spatial subsidies—how different regions support ESs provided by a species across its range. We illustrate this method for migratory northern pintail ducks in North America. Pintails support over $101 million USD annually in recreational hunting and viewing and subsistence hunting in the U.S. and Canada. Pintail breeding regions provide nearly $30 million in subsidies to wintering regions, with the “Prairie Pothole” region supplying over $24 million in annual benefits to other regions. This information can be used to inform conservation funding allocation among migratory regions and nations on which the pintail depends. We thus illustrate a transferrable method to quantify migratory species-derived ESs and provide information to aid in their transboundary conservation. © 2018, Royal Swedish Academy of Sciences.",Migration; Northern pintail duck; Spatial subsidies; Species conservation; Telecoupling; Transborder conservation,conservation planning; ecosystem service; financial provision; hunting; migratory population; prairie; subsidy system; subsistence; transboundary cooperation; waterfowl; Canada; United States; Anas; Anas acuta; animal; Canada; duck; ecosystem; North America; population migration; season; Animal Migration; Animals; Canada; Ducks; Ecosystem; North America; Seasons
"Bagstad K.J., Wiederholt R.",Tourism Values for Mexican Free-Tailed Bat Viewing,2013,Human Dimensions of Wildlife,18,4,,307,311,22,10.1080/10871209.2013.789573,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880322681&doi=10.1080%2f10871209.2013.789573&partnerID=40&md5=6ebcb7385858aeb7185ae3fb1df5db7c,"Migratory species provide diverse ecosystem services to people, but these values have seldom been estimated rangewide for a single species. In this article, we summarize visitation and consumer surplus for recreational visitors to viewing sites for the Mexican free-tailed bat (Tadarida brasiliensis mexicana) throughout the Southwestern United States. Public bat viewing opportunities are available at 17 of 25 major roosts across six states; on an annual basis, we estimate that over 242,000 visitors view bats, gaining over $6.5 million in consumer surplus. A better understanding of spatial mismatches between the areas where bats provide value to people and areas most critical for maintaining migratory populations can better inform conservation planning, including economic incentive systems for conservation. © 2013 Copyright Taylor and Francis Group, LLC.",Ecosystem services; recreation; Tadarida brasiliensis; valuation; wildlife viewing,
